Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga Hybrid,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i4,BMW i8,BMW iX,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
73301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,2
73749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
74034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
74409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
74493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
74700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
74870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75001,,,,,,,,,,2,1,,,1,,,,,2,,,1,2,,8,4,,,,1,,4,,,,2,2,,,,,1,,,,,,,,,,2,,2,,,,,,,,,,,,,,1,,1,,,,,,1,,3,,,1,,,,,,,,58,15,4,24,,2,3,,,1,2,,,,,2,2,,,,155
75002,,,,8,1,1,1,,,4,4,,2,3,,,,,6,1,2,1,15,,31,8,,,,5,,2,,,1,13,10,,,2,,8,,,,1,,,,,1,5,,,3,1,,1,2,,2,,,,,,2,,,1,,,1,,,3,,38,2,,3,2,3,,3,,,1,171,87,42,73,,,4,,2,1,4,,,,,3,3,6,,,600
75003,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2
75006,,,,1,,,,,,1,,,2,4,,2,,1,1,,,,6,1,13,6,,,,1,,,,,,3,6,,,,,1,,1,,,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,1,,1,2,,12,1,,,2,,,2,,,,51,20,14,12,,1,6,,,2,1,,1,,,,1,,,,185
75007,1,,,6,,1,1,,,1,2,,3,5,,1,,,2,,,,17,,21,7,,,,4,,4,,,1,6,5,,,,,,1,1,,,,,,,1,5,1,2,2,1,,,,,,,,,,,,1,,,,,,1,1,3,,21,,,3,,,,,,,,91,32,16,46,,1,6,,2,,1,,,,,1,,1,,,329
75009,,,,1,,2,1,,,,4,,,1,,,,,3,,,,2,,3,3,,,,,,1,,,,9,6,,,,,1,,,,,,,1,,,9,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,,2,,,,,,74,24,15,47,,1,3,,2,,1,,1,1,,1,1,3,,,232
75010,,,,4,,1,1,,,5,6,1,2,3,1,,,1,2,,,,7,1,7,7,,,,2,,2,,,,2,3,,,,,1,,3,,,,,,,,3,,1,2,3,,,,,1,1,,,1,,,1,,,,,1,,,1,,10,2,,6,2,4,,2,,,,126,52,27,85,,1,6,,4,,6,,,2,,,1,3,,,416
75013,2,,,8,3,2,2,,,6,7,3,1,12,,3,,1,14,1,1,,8,,14,8,,,,3,,1,1,1,,9,12,,,,,4,,,1,,,,,,,12,,3,3,1,,,,,4,1,,,1,,,1,,,,,,3,,1,,23,,,6,5,11,,,,,,320,114,64,163,,2,8,,4,,8,,1,,,2,6,9,,,904
75015,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
